window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776683933.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.017023,0.00077,0.003878,0.000751,-0.064873,0.000101,0.002733,0.002,0.002412,,498.078,,,,10,5,0,0
1.0,1776683934.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.017875,0.000982,0.007056,0.000745,-0.064776,7.7e-05,0.006227,0.005725,0.002127,0.0195604898035526,498.089,-0.0175579730421304,70.0,356.0,15,5,0,0
2.0,1776683935.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.018239,0.000932,0.006301,0.000656,-0.064857,0.000102,0.005139,0.00449,0.000957,0.0195604898035526,498.079,-0.0175579730421304,70.0,356.0,11,5,0,0
3.0,1776683936.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.017324,0.000766,0.004304,0.001465,-0.064846,0.00016,0.00853,0.004144,0.00174,0.0339074432849884,498.062,-0.0248793847858905,70.0,356.0,13,5,0,0
4.0,1776683937.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.016235,0.000154,0.001314,0.00062,-0.064899,8.1e-05,0.005577,0.005576,0.000555,0.0339074432849884,498.059,-0.0248793847858905,70.0,356.0,9,5,0,0
5.0,1776683938.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.017674,0.000958,0.001337,0.000736,-0.064777,8.9e-05,0.007095,0.005065,0.002443,0.0223353710025548,498.056,-0.0104756234213709,70.0,356.0,14,5,0,0
6.0,1776683939.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.016148,0.000693,0.001196,0.000684,-0.064742,7.7e-05,0.004447,0.002533,0.0024,0.0223353710025548,498.043,-0.0104756234213709,70.0,356.0,11,5,0,0
7.0,1776683940.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.019045,0.00115,0.001915,0.000531,-0.064851,0.000136,0.011659,0.003558,0.001917,0.0346695408225059,498.038,0.0077711064368486,70.0,356.0,12,5,0,0
8.0,1776683941.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.01643,0.000766,0.003991,0.000685,-0.064876,2.5e-05,0.004487,0.004559,0.002158,0.0346695408225059,498.035,0.0077711064368486,70.0,356.0,12,5,0,0
9.0,1776683942.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.015473,0.000623,0.004752,0.000698,-0.064807,6.1e-05,0.008591,0.004568,0.001722,0.0284352656453847,498.043,0.0046050795353949,70.0,356.0,13,5,0,0
10.0,1776683943.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.018879,0.001392,0.003311,0.001263,-0.064803,8e-05,0.005438,0.002772,0.001045,0.0284352656453847,498.04,0.0046050795353949,70.0,356.0,9,5,0,0
11.0,1776683944.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.017035,0.001256,0.002526,0.000368,-0.064816,5.8e-05,0.008667,0.001833,0.002104,0.0255823358893394,498.046,0.0063605774194002,70.0,356.0,14,5,0,0
12.0,1776683945.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.016643,0.001207,0.002918,0.000238,-0.064788,5.8e-05,0.005455,0.000927,0.002446,0.0255823358893394,498.047,0.0063605774194002,70.0,356.0,10,5,0,0
13.0,1776683946.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.014922,0.001717,0.005043,0.000915,-0.064775,4.9e-05,0.008245,0.005142,0.001392,0.0428459867835044,498.015,0.0087520843371748,70.0,356.0,14,5,0,0
14.0,1776683947.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.013137,0.002141,0.005061,0.001052,-0.064766,4.9e-05,0.007711,0.005395,0.000701,0.0428459867835044,498.024,0.0087520843371748,70.0,356.0,11,5,0,0
15.0,1776683948.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.01694,0.000413,0.00396,0.000507,-0.064827,9.4e-05,0.005206,0.002797,0.001225,0.0419193319976329,498.018,0.0146503113210201,70.0,356.0,12,5,0,0
16.0,1776683949.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.01892,0.0017,0.004488,0.000754,-0.064848,0.000103,0.007599,0.002584,0.001953,0.0419193319976329,498.001,0.0146503113210201,70.0,356.0,11,5,0,0
17.0,1776683950.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.019183,0.000733,0.003006,0.000379,-0.064837,0.000136,0.00657,0.004847,0.001738,0.0426422990858554,497.98,0.0220386870205402,70.0,356.0,14,5,0,0
18.0,1776683951.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.019505,0.000969,0.002616,0.000325,-0.06492,9.7e-05,0.006585,0.00252,0.00155,0.0426422990858554,497.95,0.0220386870205402,70.0,356.0,11,5,0,0
19.0,1776683952.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.016851,0.001538,0.003998,0.000422,-0.064766,3.8e-05,0.004344,0.003701,0.000618,0.0346205048263073,497.906,0.033985823392868,70.0,356.0,12,5,0,0
20.0,1776683953.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.015048,0.000446,0.004764,0.000756,-0.064762,4e-05,0.00287,0.005383,0.001179,0.0346205048263073,497.854,0.033985823392868,70.0,356.0,10,5,0,0
21.0,1776683954.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.015209,0.000475,0.006714,0.000272,-0.0648,5.1e-05,0.007225,0.004967,0.001844,0.0266725942492485,497.816,0.0809432193636894,70.0,356.0,14,5,0,0
22.0,1776683955.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.017543,0.001843,0.007519,0.000645,-0.064834,6.1e-05,0.008282,0.00394,0.001481,0.0266725942492485,497.774,0.0809432193636894,70.0,356.0,11,5,0,0
23.0,1776683956.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.01414,0.000982,0.006764,0.000852,-0.064844,9.1e-05,0.006906,0.004385,0.001748,0.0238761454820632,497.736,0.1061997339129448,70.0,356.0,12,5,0,0
24.0,1776683957.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.019306,0.002212,0.003003,0.001171,-0.064857,7.8e-05,0.004865,0.002185,0.002566,0.0238761454820632,497.739,0.1061997339129448,70.0,356.0,10,5,0,0
25.0,1776683958.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.015857,0.004923,0.004817,0.002254,-0.064623,0.000106,0.007582,0.004947,0.002203,0.0088544730097055,497.733,0.1071409955620765,70.0,356.0,14,5,0,0
26.0,1776683959.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.014587,0.002413,0.006361,0.000594,-0.064731,8e-05,0.004185,0.001459,0.002525,0.0088544730097055,497.745,0.1071409955620765,70.0,356.0,11,5,0,0
27.0,1776683960.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.019087,0.000943,0.005343,0.000676,-0.064738,5.8e-05,0.006352,0.004267,0.002041,0.038199882954359,497.751,0.0997942090034484,70.0,356.0,13,5,0,0
28.0,1776683961.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.018,0.000681,0.005494,0.000208,-0.064825,3.4e-05,0.00748,0.001384,0.0016,0.038199882954359,497.769,0.0997942090034484,70.0,356.0,11,5,0,0
29.0,1776683962.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.019452,0.000724,0.004451,0.000908,-0.064745,7.6e-05,0.006715,0.00165,0.00127,0.0338807702064514,497.796,0.0895931869745254,70.0,356.0,15,5,0,0
30.0,1776683963.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.016311,0.002026,0.004888,0.000385,-0.064742,6.3e-05,0.007849,0.002976,0.001454,0.0338807702064514,497.81,0.0895931869745254,70.0,356.0,11,5,0,0
31.0,1776683964.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.017083,0.002482,0.003819,0.000928,-0.064679,0.000247,0.032125,0.010655,0.001946,0.0680350214242935,497.836,0.0792056396603584,70.0,356.0,28,5,16,0
32.0,1776683965.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.016336,0.00451,0.00551,0.00129,-0.06488,0.000365,0.069239,0.045085,0.003113,0.0680350214242935,497.842,0.0792056396603584,70.0,356.0,52,5,40,0
33.0,1776683966.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.01554,0.001787,0.005696,0.003092,-0.064758,0.000246,0.019059,0.021953,0.002019,0.0743271261453628,497.861,0.0800163149833679,70.0,356.0,52,5,40,0
34.0,1776683967.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.020272,0.002957,0.003348,0.002123,-0.064522,0.000339,0.036083,0.028349,0.000771,0.0743271261453628,497.87,0.0800163149833679,70.0,356.0,49,5,40,0
35.0,1776683968.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.020045,0.001873,0.003584,0.001422,-0.064503,0.000178,0.023098,0.02226,0.002209,0.0551672577857971,497.885,0.0618006996810436,70.0,356.0,54,5,40,0
36.0,1776683969.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.01894,0.003014,0.004478,0.001915,-0.064814,0.000232,0.074113,0.033046,0.001609,0.0551672577857971,497.917,0.0618006996810436,70.0,356.0,49,5,38,0
37.0,1776683970.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.020715,0.002994,0.003329,0.002626,-0.064876,0.000463,0.067604,0.016584,0.003982,0.0331329219043254,497.96,0.0347098633646965,70.0,356.0,53,5,40,0
38.0,1776683971.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.021994,0.00229,0.003379,0.001766,-0.064514,0.000327,0.063373,0.030899,0.003798,0.0331329219043254,497.962,0.0347098633646965,70.0,356.0,49,5,40,0
39.0,1776683972.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.021567,0.0059,0.003379,0.002601,-0.064777,0.000277,0.078606,0.051017,0.002864,0.0243079606443643,497.966,0.0295762550085783,70.0,356.0,54,5,40,0
40.0,1776683973.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.019284,0.005775,0.000588,0.004797,-0.064715,0.000457,0.103814,0.061887,0.003291,0.0243079606443643,497.992,0.0295762550085783,70.0,356.0,50,5,38,0
41.0,1776683974.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.020865,0.006088,0.00221,0.004036,-0.06464,0.000357,0.110276,0.054018,0.001952,0.0310910120606422,498.021,0.0188926719129085,70.0,356.0,52,5,40,0
42.0,1776683975.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.020453,0.002323,0.004109,0.003043,-0.064733,0.000395,0.06428,0.021998,0.002259,0.0310910120606422,498.034,0.0188926719129085,70.0,356.0,51,5,40,0
43.0,1776683976.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.020106,0.002048,0.004282,0.00174,-0.064905,0.000627,0.018605,0.021367,0.003478,0.041796687990427,498.043,0.0026025874540209,70.0,356.0,52,5,40,0
44.0,1776683977.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.02084,0.005173,0.003972,0.001765,-0.064906,0.000271,0.070073,0.022375,0.002405,0.041796687990427,498.066,0.0026025874540209,70.0,356.0,51,5,38,0
45.0,1776683978.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.020095,0.001789,0.002868,0.001639,-0.064975,0.0003,0.054051,0.023412,0.002257,0.0500125847756862,498.092,-0.0074615767225623,70.0,356.0,52,5,40,0
46.0,1776683979.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.021257,0.001816,0.000152,0.002509,-0.064737,0.00029,0.018437,0.042905,0.003028,0.0500125847756862,498.105,-0.0074615767225623,70.0,356.0,51,5,40,0
47.0,1776683980.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.023006,0.001611,0.003649,0.003394,-0.064642,0.000291,0.046902,0.015759,0.003765,0.0592423342168331,498.111,-0.0168311260640621,70.0,356.0,52,5,40,0
48.0,1776683981.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.024584,0.002663,0.003225,0.004435,-0.064323,0.000332,0.038015,0.094987,0.002085,0.0592423342168331,498.104,-0.0168311260640621,70.0,356.0,51,5,39,0
49.0,1776683982.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.022963,0.003992,0.00257,0.010726,-0.064292,0.000551,0.048945,0.085099,0.005451,0.0358653701841831,498.073,-0.0193205066025257,70.0,356.0,52,5,39,0
50.0,1776683983.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.022094,0.004176,0.002013,0.008682,-0.064545,0.000546,0.068739,0.118838,0.003381,0.0358653701841831,498.054,-0.0193205066025257,70.0,356.0,51,5,40,0
51.0,1776683984.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.024136,0.013626,0.003723,0.004682,-0.064674,0.000757,0.26586,0.067151,0.005913,0.0268538296222686,498.029,0.0013648524181917,70.0,356.0,53,5,40,0
52.0,1776683985.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.021714,0.021884,0.00402,0.006674,-0.064848,0.000801,0.416439,0.06254,0.003789,0.0268538296222686,498.009,0.0013648524181917,70.0,356.0,48,5,38,0
53.0,1776683986.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.025885,0.028188,0.002631,0.005174,-0.06481,0.001116,0.379819,0.099665,0.006268,0.0138889169320464,498.004,0.0103029869496822,70.0,356.0,54,5,40,0
54.0,1776683987.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.024594,0.012056,0.001037,0.010095,-0.064167,0.001048,0.312912,0.088716,0.004039,0.0138889169320464,498.026,0.0103029869496822,70.0,356.0,49,5,40,0
55.0,1776683988.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.023648,0.006838,0.001037,0.003008,-0.064404,0.000789,0.063965,0.091174,0.00738,0.0166498553007841,498.056,0.0086137736216187,70.0,356.0,54,5,40,0
56.0,1776683989.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.026846,0.002125,0.003974,0.004505,-0.064853,0.000256,0.057143,0.041075,0.002035,0.0166498553007841,498.071,0.0086137736216187,70.0,356.0,49,5,38,0
57.0,1776683990.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.027068,0.005374,0.000144,0.003672,-0.064361,0.00025,0.024829,0.047492,0.001987,0.0383276678621768,498.095,-0.0186495427042245,70.0,356.0,55,5,42,0
58.0,1776683991.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.027765,0.001512,-0.000732,0.00137,-0.06479,0.000241,0.010824,0.043835,0.002277,0.0383276678621768,498.111,-0.0186495427042245,70.0,356.0,48,5,38,0
59.0,1776683992.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.023549,0.007312,-0.00049,0.00432,-0.064593,0.000472,0.062666,0.034034,0.002223,0.0916017964482307,498.132,-0.0132920164614915,70.0,356.0,53,5,40,0
60.0,1776683993.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.02691,0.015124,0.00041,0.005214,-0.064518,0.000662,0.19155,0.093506,0.002906,0.0916017964482307,498.119,-0.0132920164614915,70.0,356.0,50,5,40,0
61.0,1776683994.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.023215,0.03337,0.001808,0.004915,-0.064588,0.000758,0.498383,0.062444,0.004196,0.0722899436950683,498.104,-0.0103349070996046,70.0,356.0,54,5,40,0
62.0,1776683995.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.011945,0.07704,0.005333,0.011187,-0.063987,0.002109,1.092071,0.078808,0.003416,0.0722899436950683,498.098,-0.0103349070996046,70.0,356.0,47,5,38,0
63.0,1776683996.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.017841,0.146447,0.002431,0.011149,-0.06511,0.00376,1.661119,0.134178,0.016171,0.0404490567743778,498.093,0.0132399713620543,68.0,356.0,54,5,40,0
64.0,1776683997.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.023028,0.062131,0.000807,0.00636,-0.066113,0.001993,1.237303,0.078416,0.012924,0.0404490567743778,498.054,0.0132399713620543,68.0,356.0,50,5,40,0
65.0,1776683998.313,20260420_201852_c5c04f,hitl,hover,malformed,attack,attack,new_rpi_2026_04_20,0.030677,0.061137,0.000643,0.006494,-0.065274,0.002203,1.790908,0.104121,0.011451,0.0263676661998033,498.017,0.0657881200313568,67.0,356.0,54,5,40,0
