window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776684686.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.014414,0.000815,-0.019876,0.002177,0.47559,0.00011,0.002424,0.0086,0.001647,,498.44,,,,13,5,0,0
1.0,1776684687.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.015754,0.001909,-0.021896,0.000908,0.475722,0.000141,0.003926,0.005312,0.000765,0.0125636858865618,498.488,-0.1186308041214943,70.0,27.0,11,5,0,0
2.0,1776684688.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.016856,0.000521,-0.023981,0.000533,0.475593,0.000135,0.003458,0.00445,0.000983,0.0125636858865618,498.571,-0.1186308041214943,70.0,27.0,13,5,0,0
3.0,1776684689.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.016429,0.000454,-0.021829,0.001096,0.475672,7.6e-05,0.004605,0.004266,0.001337,0.0302592106163501,498.595,-0.1603647470474243,70.0,27.0,12,5,0,0
4.0,1776684690.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.016898,0.0004,-0.020298,0.001099,0.47557,0.000141,0.002504,0.005625,0.001399,0.0302592106163501,498.629,-0.1603647470474243,70.0,27.0,13,5,0,0
5.0,1776684691.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.016865,0.001107,-0.018758,0.000802,0.475577,9.4e-05,0.003856,0.004502,0.001838,0.0171888582408428,498.631,-0.1817759573459625,70.0,27.0,11,5,0,0
6.0,1776684692.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.015979,0.000373,-0.018477,0.000942,0.475725,9.4e-05,0.004268,0.007341,0.002449,0.0171888582408428,498.599,-0.1817759573459625,70.0,27.0,13,5,0,0
7.0,1776684693.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.016914,0.000345,-0.020099,0.000297,0.475613,9.9e-05,0.004072,0.006478,0.001998,0.0414094813168048,498.581,-0.1867919266223907,70.0,27.0,12,5,0,0
8.0,1776684694.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.018131,0.000374,-0.017514,0.001096,0.475665,0.000124,0.006475,0.007359,0.002152,0.0414094813168048,498.543,-0.1867919266223907,70.0,27.0,12,5,0,0
9.0,1776684695.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.019147,0.000686,-0.018346,0.0007,0.475623,8.1e-05,0.006397,0.006174,0.002608,0.0682605430483818,498.523,-0.1643488407135009,70.0,27.0,11,5,0,0
10.0,1776684696.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.020443,0.000569,-0.019401,0.00033,0.475772,0.000207,0.004137,0.008795,0.002031,0.0682605430483818,498.504,-0.1643488407135009,70.0,27.0,12,5,0,0
11.0,1776684697.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.019343,0.000662,-0.019357,0.000374,0.475674,0.000149,0.0038,0.006887,0.001892,0.0728894546627998,498.492,-0.1491369754076004,70.0,27.0,12,5,0,0
12.0,1776684698.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.018246,0.000478,-0.020239,0.000958,0.475847,0.000223,0.005639,0.009385,0.003144,0.0728894546627998,498.487,-0.1491369754076004,70.0,27.0,14,5,0,0
13.0,1776684699.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.017115,0.000439,-0.021686,0.000718,0.475563,0.000242,0.002974,0.00432,0.00129,0.0574205480515956,498.491,-0.1470846533775329,70.0,27.0,12,5,0,0
14.0,1776684700.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.017802,0.000418,-0.023208,0.000465,0.475586,0.000118,0.005767,0.005876,0.001664,0.0574205480515956,498.472,-0.1470846533775329,70.0,27.0,12,5,0,0
15.0,1776684701.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.01871,0.000412,-0.023718,0.000589,0.475677,6.2e-05,0.003188,0.003968,0.003066,0.0391671545803546,498.457,-0.1379362791776657,70.0,27.0,11,5,0,0
16.0,1776684702.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.019284,0.000184,-0.023557,0.000303,0.475556,0.000108,0.005434,0.004184,0.002043,0.0391671545803546,498.474,-0.1379362791776657,70.0,27.0,13,5,0,0
17.0,1776684703.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.019238,0.000315,-0.023066,0.000317,0.475388,6.7e-05,0.004016,0.00417,0.002474,0.0389032550156116,498.459,-0.1278814971446991,70.0,27.0,11,5,0,0
18.0,1776684704.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.019568,0.000443,-0.023613,0.000452,0.475468,9.3e-05,0.003405,0.002028,0.001047,0.0389032550156116,498.441,-0.1278814971446991,70.0,27.0,12,5,0,0
19.0,1776684705.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.017759,0.000331,-0.024747,0.000342,0.475622,9.2e-05,0.003429,0.002238,0.001443,0.0168326385319232,498.411,-0.1187545657157898,70.0,27.0,12,5,0,0
20.0,1776684706.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.01705,0.000385,-0.023906,0.000885,0.475625,0.000128,0.002214,0.003847,0.001405,0.0168326385319232,498.393,-0.1187545657157898,70.0,27.0,12,5,0,0
21.0,1776684707.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.018411,0.000536,-0.023021,0.000562,0.475418,6.7e-05,0.003836,0.003571,0.001825,0.0213297400623559,498.4,-0.1163542717695236,70.0,27.0,11,5,0,0
22.0,1776684708.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.016654,0.000322,-0.022831,0.000423,0.475546,0.000133,0.005763,0.003091,0.001997,0.0213297400623559,498.356,-0.1163542717695236,70.0,27.0,12,5,0,0
23.0,1776684709.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.017376,0.00071,-0.023751,0.000124,0.475532,0.000123,0.004724,0.002589,0.002657,0.0423715077340602,498.336,-0.0949945226311683,70.0,27.0,11,5,0,0
24.0,1776684710.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.018752,0.000382,-0.025566,0.000671,0.475565,0.000111,0.005248,0.006438,0.001506,0.0423715077340602,498.34,-0.0949945226311683,70.0,27.0,13,5,0,0
25.0,1776684711.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.018324,0.000199,-0.024527,0.000358,0.475533,0.000155,0.00381,0.0029,0.002067,0.0397294051945209,498.308,-0.0867903381586074,70.0,27.0,11,5,0,0
26.0,1776684712.204,20260420_203125_a7db56,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.018062,0.000232,-0.022932,0.00068,0.475489,8.4e-05,0.003232,0.003341,0.001593,0.0397294051945209,498.276,-0.0867903381586074,70.0,27.0,13,5,0,0
