window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776687954.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.044313,0.000879,0.001684,0.000281,0.471538,0.000101,0.007292,0.004087,0.002003,,497.913,,,,12,5,0,0
1.0,1776687955.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.043928,0.000842,0.001474,0.000672,0.471584,0.000103,0.005904,0.004821,0.00148,0.055483303964138,497.936,0.0532083623111248,70.0,27.0,12,5,0,0
2.0,1776687956.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.041984,0.000801,0.003026,0.000496,0.471521,7.9e-05,0.00567,0.002763,0.002398,0.055483303964138,497.953,0.0532083623111248,70.0,27.0,11,5,0,0
3.0,1776687957.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.043815,0.000624,0.003238,0.000695,0.471521,6.9e-05,0.006122,0.004441,0.002783,0.0506255477666854,497.968,0.0463244095444679,70.0,27.0,12,5,0,0
4.0,1776687958.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.044069,0.000465,0.003573,0.000355,0.471508,4.8e-05,0.002539,0.004219,0.001306,0.0506255477666854,497.996,0.0463244095444679,70.0,27.0,12,5,0,0
5.0,1776687959.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.041385,0.001842,7.4e-05,0.001357,0.471485,0.000118,0.00462,0.004111,0.00197,0.0631530433893203,498.029,0.039140660315752,70.0,27.0,12,5,0,0
6.0,1776687960.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.040459,0.000219,-0.000772,0.000782,0.471383,9.3e-05,0.005421,0.005245,0.002056,0.0631530433893203,498.074,0.039140660315752,70.0,27.0,11,5,0,0
7.0,1776687961.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.040014,0.000456,0.000847,0.000224,0.471478,6.8e-05,0.00227,0.004332,0.002306,0.0295950230211019,498.101,0.0004041494103148,70.0,27.0,13,5,0,0
8.0,1776687962.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.039836,0.000562,0.001549,0.000831,0.471479,3.5e-05,0.002507,0.006745,0.002063,0.0295950230211019,498.103,0.0004041494103148,70.0,27.0,12,5,0,0
9.0,1776687963.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.038445,0.000186,0.002488,0.000309,0.47144,7.6e-05,0.003147,0.007762,0.001798,0.0428578630089759,498.082,-0.0075603504665195,70.0,27.0,13,5,0,0
10.0,1776687964.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.039744,0.00066,0.00227,0.000569,0.471477,4.4e-05,0.003842,0.008171,0.001056,0.0428578630089759,498.059,-0.0075603504665195,70.0,27.0,11,5,0,0
11.0,1776687965.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.038329,0.000464,0.001961,0.000459,0.471452,0.000115,0.003725,0.008471,0.001535,0.0637523308396339,498.033,0.0226873643696308,70.0,27.0,12,5,0,0
12.0,1776687966.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.040392,0.000445,1e-05,0.000297,0.47148,4.6e-05,0.005588,0.007428,0.001001,0.0637523308396339,497.997,0.0226873643696308,70.0,27.0,12,5,0,0
13.0,1776687967.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.040135,0.000539,0.00079,0.000764,0.471525,6.3e-05,0.007372,0.007764,0.001761,0.0600609444081783,497.942,0.0510539934039115,70.0,27.0,12,5,0,0
14.0,1776687968.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.039594,0.000659,0.000868,0.000822,0.471413,4.6e-05,0.006712,0.006458,0.00206,0.0600609444081783,497.909,0.0510539934039115,70.0,27.0,11,5,0,0
15.0,1776687969.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.039783,0.000648,-0.000721,0.000224,0.471528,5.1e-05,0.005291,0.007171,0.001828,0.0666654482483863,497.899,0.0662961453199386,70.0,27.0,13,5,0,0
16.0,1776687970.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.042705,0.000624,-0.000172,0.000507,0.471475,5.5e-05,0.006894,0.006504,0.002584,0.0666654482483863,497.889,0.0662961453199386,70.0,27.0,14,5,0,0
17.0,1776687971.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.039882,0.001329,-6.9e-05,0.000506,0.471467,5.1e-05,0.003544,0.005435,0.001856,0.0653921738266944,497.858,0.0762561932206153,70.0,27.0,13,5,0,0
18.0,1776687972.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.037344,0.00027,-0.001775,0.000488,0.471546,8.4e-05,0.004685,0.006276,0.001376,0.0653921738266944,497.871,0.0762561932206153,70.0,27.0,11,5,0,0
19.0,1776687973.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.038995,0.000749,-0.000196,0.000215,0.4715,7e-05,0.012804,0.002932,0.001516,0.0272410940378904,497.88,0.0899655297398567,70.0,27.0,12,5,0,0
20.0,1776687974.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.038382,0.000249,-0.00086,0.000557,0.47141,8.1e-05,0.004972,0.003666,0.001255,0.0272410940378904,497.887,0.0899655297398567,70.0,27.0,12,5,0,0
21.0,1776687975.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.038308,0.000364,-0.001998,0.00031,0.471413,8.1e-05,0.002468,0.003106,0.001084,0.0248200055211782,497.897,0.078092336654663,70.0,27.0,12,5,0,0
22.0,1776687976.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.038752,0.001001,-0.00236,0.000253,0.471447,6.3e-05,0.002046,0.005357,0.001835,0.0248200055211782,497.906,0.078092336654663,70.0,27.0,11,5,0,0
23.0,1776687977.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.039287,0.001242,-0.002822,0.000394,0.471431,7.5e-05,0.004699,0.002975,0.00129,0.0259627010673284,497.907,0.0683039277791976,70.0,27.0,12,5,0,0
24.0,1776687978.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.035654,0.000419,-0.000244,0.001183,0.471446,6.7e-05,0.003731,0.003196,0.001449,0.0259627010673284,497.909,0.0683039277791976,70.0,27.0,12,5,0,0
25.0,1776687979.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.036982,0.001129,-0.000114,0.000679,0.471373,8.8e-05,0.00366,0.004716,0.001964,0.0168596152216196,497.91,0.0589357279241085,70.0,27.0,12,5,0,0
26.0,1776687980.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.038559,0.000353,-0.001138,0.000586,0.471476,4.7e-05,0.004957,0.006517,0.002834,0.0168596152216196,497.895,0.0589357279241085,70.0,27.0,11,5,0,0
27.0,1776687981.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.038507,0.000776,0.001309,0.000784,0.471567,9.7e-05,0.004432,0.001913,0.002288,0.0081391977146267,497.911,0.0646283328533172,70.0,27.0,12,5,0,0
28.0,1776687982.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.038086,0.00041,0.000975,0.000938,0.471454,8.4e-05,0.002915,0.003368,0.001078,0.0081391977146267,497.926,0.0646283328533172,70.0,27.0,12,5,0,0
29.0,1776687983.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.037727,0.000251,0.000335,0.001024,0.471536,0.000157,0.003144,0.004096,0.001848,0.0183942969888448,497.939,0.0589372888207435,70.0,27.0,12,5,0,0
30.0,1776687984.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.037204,0.000345,0.000916,8e-05,0.471458,0.000121,0.002862,0.00128,0.000827,0.0183942969888448,497.938,0.0589372888207435,70.0,27.0,11,5,0,0
31.0,1776687985.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.038595,0.00062,0.000715,0.000437,0.471483,0.000124,0.003798,0.004272,0.002057,0.0244990065693855,497.971,0.0527253225445747,70.0,27.0,12,5,0,0
32.0,1776687986.294,20260420_212553_e13c77,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.040377,0.000689,0.00026,0.000471,0.471478,4.4e-05,0.003641,0.005096,0.002282,0.0244990065693855,497.976,0.0527253225445747,70.0,27.0,12,5,0,0
